Rank : Sergeant,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Water Supply
Rank : Incident Commander,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Stroke,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Exposure,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Assistant Chief,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Ventilation
Rank : Private,Classification : Career,Cause Of Death : Impact,Nature Of Death : Violence,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Lieutenant,Classification : Career,Cause Of Death : Impact,Nature Of Death : Violence,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Training Officer,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Stroke,Duty : On-Scene Emergency,Activity : Other
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Exposure,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter/Engineer,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Administrative District Chief,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter/EMT,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Forest Technician III,Classification : Career,Cause Of Death : Vehicle Collision,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Vehicle Passenger
Rank : Firefighter/Training Officer,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Captain,Classification : Volunteer,Cause Of Death : Fall,Nature Of Death : Other,Duty : On-Scene Fire,Activity : Support
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Search and Rescue
Rank : Firefighter/Paramedic,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Fire Police,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Emergency,Activity : Other
Rank : Lieutenant,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Passenger
Rank : Smokejumper,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Training,Activity : Other
Rank : Second Assistant Chief,Classification : Volunteer,Cause Of Death : Exposure,Nature Of Death : Suffocation,Duty : Training,Activity : Other
Rank : Lieutenant,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
"Rank : Pilot, Wildland",Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Fire Police Officer,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Support
Rank : Air Tactical Group Supv. Wildland,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Support
Rank : Air Attack Pilot Wildland Contract,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Support
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Passenger
Rank : Firefighter/Rotor Craft Pilot,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Incident Command
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Ambulance Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Emergency,Activity : EMS/Patient Care
Rank : Seasonal Wildland Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Support
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Support
Rank : Captain,Classification : Career,Cause Of Death : Fall,Nature Of Death : Trauma,Duty : On-Duty,Activity : Other
Rank : District Forester,Classification : Career,Cause Of Death : Exposure,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Water Supply
Rank : IFR Captain,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Advance Hose Lines/Fire Attack
"Rank : Firefighter, Private",Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : Training,Activity : Other
Rank : Assistant Chief,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Water Supply
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Emergency,Activity : Search and Rescue
Rank : Inmate Firefighter,Classification : Volunteer,Cause Of Death : Exposure,Nature Of Death : Electrocution,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Inmate Firefighter,Classification : Volunteer,Cause Of Death : Exposure,Nature Of Death : Electrocution,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Career,Cause Of Death : Impact,Nature Of Death : Violence,Duty : On-Duty,Activity : Other
Rank : Lieutenant,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Fire Crew Chief,Classification : Career,Cause Of Death : Exposure,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Lance Corporal,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Other
Rank : Assistant Chief,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Water Supply
Rank : Lieutenant,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Stroke,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Pilot,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Vehicle Passenger
Rank : Crew Chief,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Vehicle Driver
Rank : Firefighter Paramedic,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Training,Activity : Other
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Emergency,Activity : EMS/Patient Care
Rank : Assistant Chief,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Emergency,Activity : Other
Rank : Fire Police Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter/Secretary,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Ventilation
Rank : Firefighter,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Passenger
Rank : Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : Ventilation
Rank : Firefighter,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Support
Rank : Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Passenger
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Other
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Exposure,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter-Safety Officer,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Driver/Operator Engineer,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Training,Activity : Vehicle Driver
Rank : Fire-Police Lieutenant,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Emergency,Activity : Other
Rank : Firefighter II,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Emergency,Activity : Vehicle Driver
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Support
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Emergency,Activity : Other
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Lieutenant,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Emergency,Activity : Other
Rank : Firefighter,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Support
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Emergency,Activity : Other
Rank : Lieutenant,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter 1st Grade,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Ventilation
Rank : Lieutenant,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Firefighter,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Fitness Activity
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Vehicle Driver
Rank : Lieutenant/EMT,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Vehicle Driver
Rank : Chief Engineer,Classification : Volunteer,Cause Of Death : Fall,Nature Of Death : Trauma,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Fire Police Officer,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Vehicle Passenger
Rank : Assistant Chief,Classification : Paid-on-Call,Cause Of Death : Trapped,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Assistant Chief,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Driver/Engineer,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter/Paramedic,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : Support
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Water Supply
Rank : Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Fitness Activity
Rank : Engineer,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Lieutenant,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Captain of Fire Police,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Vehicle Driver
Rank : Engineer,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter/Paramedic,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Emergency,Activity : Search and Rescue
Rank : Assistant Chief,Classification : Volunteer,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Emergency,Activity : Search and Rescue
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Firefighter/Fire Police,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter II,Classification : Career,Cause Of Death : Fall,Nature Of Death : Electrocution,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter-President,Classification : Volunteer,Cause Of Death : Fall,Nature Of Death : Trauma,Duty : On-Duty,Activity : Other
Rank : Lieutenant,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Probationary Firefighter,Classification : Career,Cause Of Death : Fall,Nature Of Death : Trauma,Duty : Training,Activity : Other
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Passenger
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Trauma,Duty : On-Duty,Activity : Other
Rank : Captain,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Fitness Activity
Rank : Firefighter 1st Grade,Classification : Career,Cause Of Death : Impact,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter 1st Grade,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Ventilation
Rank : Firefighter 1st Grade,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Ventilation
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Water Supply
Rank : Captain,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Training,Activity : Water Supply
Rank : Fire Chief,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Training,Activity : Personal Vehicle Driver/Passenger
Rank : Forestry Officer,Classification : Wildland Full-Time,Cause Of Death : Other,Nature Of Death : Other,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Fire-Police Officer,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Support
Rank : Squad Boss,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Other
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Other
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Other
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Suffocation,Duty : On-Scene Fire,Activity : Other
Rank : Pilot,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Vehicle Driver
Rank : Firefighter-EMT,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Support
Rank : Firefighter,Classification : Career,Cause Of Death : Trapped,Nature Of Death : Burns,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Lieutenant,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Captain,Classification : Volunteer,Cause Of Death : Fall,Nature Of Death : Trauma,Duty : On-Duty,Activity : Support
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Personal Vehicle Driver/Passenger
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Duty,Activity : Other
Rank : Firefighter,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : In-Station Duties
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Vehicle Driver
Rank : Fire Chief,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Personal Vehicle Driver/Passenger
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Salvage and Overhaul
Rank : Firefighter/EMT,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Vehicle Driver
Rank : Firefighter,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Duty,Activity : Vehicle Driver
Rank : Airtanker Pilot,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Other
Rank : Airtanker Pilot,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Other
Rank : Firefighter,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Advance Hose Lines/Fire Attack
Rank : Captain,Classification : Career,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : Response,Activity : Fitness Activity
Rank : Pilot (Contract),Classification : Career,Cause Of Death : Vehicle Collision,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Vehicle Driver
Rank : Co-Pilot (Contract),Classification : Career,Cause Of Death : Vehicle Collision,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Vehicle Driver
Rank : Crew Chief (Contract),Classification : Career,Cause Of Death : Vehicle Collision,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Vehicle Passenger
Rank : Firefighter,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Support
Rank : Chief,Classification : Volunteer,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Vehicle Driver
Rank : Lieutenant,Classification : Career,Cause Of Death : Impact,Nature Of Death : Trauma,Duty : Response,Activity : Other
Rank : Firefighter/Engineer,Classification : Volunteer,Cause Of Death : Stress/Overexertion,Nature Of Death : Heart Attack,Duty : On-Scene Fire,Activity : Water Supply
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Lieutenant,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Fire Safety Director,Classification : Industrial,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Deputy Fire Safety Director,Classification : Industrial,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Lieutenant,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Lieutenant,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Battalion Chief,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Lieutenant,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Firefighter,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
Rank : Assistant Chief,Classification : Career,Cause Of Death : Collapse,Nature Of Death : Trauma,Duty : On-Scene Fire,Activity : Search and Rescue
